County,VBM,EIP,Total,D - R
ALACHUA,27569,51100,78669,20821
BAKER,1882,7179,9061,-1921
BAY,18425,43958,62383,-19373
BRADFORD,2404,4675,7079,-942
BREVARD,90029,118389,208418,-27672
BROWARD,193662,426494,620156,209197
CALHOUN,998,2692,3690,1292
CHARLOTTE,34513,39643,74156,-14348
CITRUS,24625,29327,53952,-12136
CLAY,19723,54529,74252,-30099
COLLIER,55822,74928,130750,-39481
COLUMBIA,5463,14044,19507,-2474
DESOTO,2159,4445,6604,883
DIXIE,1883,2319,4202,89
DUVAL,71331,227368,298699,4154
ESCAMBIA,37903,56173,94076,-14499
FLAGLER,13186,29703,42889,-5220
FRANKLIN,1453,2313,3766,815
GADSDEN,4200,9626,13826,8590
GILCHRIST,1795,2412,4207,-1272
GLADES,822,863,1685,44
GULF,1429,3612,5041,-659
HAMILTON,1334,1702,3036,633
HARDEE,779,3618,4397,-878
HENDRY,1746,5809,7555,332
HERNANDO,33807,25843,59650,-6443
HIGHLANDS,10937,18996,29933,-5548
HILLSBOROUGH,181989,242167,424156,28689
HOLMES,2019,2901,4920,-1510
INDIANRIVER,22295,33134,55429,-13428
JACKSON,4105,9109,13214,1989
JEFFERSON,1259,2882,4141,1133
LAFAYETTE,600,1147,1747,343
LAKE,31576,75178,106754,-15438
LEE,154507,100893,255400,-55243
LEON,29158,67518,96676,26423
LEVY,5001,5107,10108,-2076
LIBERTY,472,1347,1819,1073
MADISON,1112,4554,5666,1544
MANATEE,66238,48610,114848,-17538
MARION,37374,66199,103573,-14145
MARTIN,29673,34037,63710,-18363
MIAMI-DADE,293035,475838,768873,113207
MONROE,14128,13323,27451,-1685
NASSAU,9846,23509,33355,-13840
OKALOOSA,22104,45151,67255,-29700
OKEECHOBEE,2487,5879,8366,-1184
ORANGE,153837,255112,408949,66504
OSCEOLA,43723,63254,106977,22407
PALMBEACH,144448,240400,384848,72994
PASCO,66721,76633,143354,-13472
PINELLAS,239629,78166,317795,711
POLK,77733,92645,170378,-1045
PUTNAM,6360,13868,20228,-212
SANTAROSA,18300,37197,55497,-24766
SARASOTA,76270,79927,156197,-16271
SEMINOLE,61403,109267,170670,-10336
STJOHNS,26133,71607,97740,-32686
STLUCIE,40388,57290,97678,9123
SUMTER,19593,45544,65137,-21570
SUWANNEE,4257,6482,10739,-868
TAYLOR,2138,3099,5237,887
UNION,951,2317,3268,-148
VOLUSIA,73644,97940,171584,-4247
WAKULLA,3065,6824,9889,51
WALTON,6858,13439,20297,-9591
WASHINGTON,2475,3675,6150,-1490
